Test ID: 2021-1-15 Stress PPT Video 50   Test Date: 01/15/21   Left vole: p8086   Right vole: p8093
Video source: .mp4, playback speed: 4x

RAW DATA:
State, Localtime, Full Timestamp of start (sec since epoch), Sec in state, Cum. sec in state
2, 18:7:59, 1615169279.863963, 0.313902, Cumulative duration: 11.920784
3, 18:8:0, 1615169280.177865, 5.416453, Cumulative duration: 97.643965
4, 18:8:5, 1615169285.594318, 27.194583, Cumulative duration: 78.679506
3, 18:8:32, 1615169312.788901, 0.829005, Cumulative duration: 98.472970
2, 18:8:33, 1615169313.617906, 0.163884, Cumulative duration: 12.084668
1, 18:8:33, 1615169313.781790, 3.042977, Cumulative duration: 64.764804
2, 18:8:36, 1615169316.824767, 0.179209, Cumulative duration: 12.263877
3, 18:8:37, 1615169317.3976, 9.690551, Cumulative duration: 108.163521
4, 18:8:46, 1615169326.694527, 1.066283, Cumulative duration: 79.745789
3, 18:8:47, 1615169327.760810, 1.754310, Cumulative duration: 109.917831
4, 18:8:49, 1615169329.515120, 3.659982, Cumulative duration: 83.405771
3, 18:8:53, 1615169333.175102, 1.635338, Cumulative duration: 111.553169
4, 18:8:54, 1615169334.810440, 32.222539, Cumulative duration: 115.628310
3, 18:9:27, 1615169367.32979, 0.315464, Cumulative duration: 111.868633
4, 18:9:27, 1615169367.348443, 3.135038, Cumulative duration: 118.763348
3, 18:9:30, 1615169370.483481, 0.149679, Cumulative duration: 112.018312
4, 18:9:30, 1615169370.633160, 59.850907, Cumulative duration: 178.614255
3, 18:10:30, 1615169430.484067, 0.166132, Cumulative duration: 112.184444
2, 18:10:30, 1615169430.650199, 0.450651, Cumulative duration: 12.714528
1, 18:10:31, 1615169431.100850, 1.361751, Cumulative duration: 66.126555
0, 18:10:32, 1615169432.462601, 2.744889, Cumulative duration: 12.748768
1, 18:10:35, 1615169435.207490, 1.920094, Cumulative duration: 68.046649
0, 18:10:37, 1615169437.127584, 2.280201, Cumulative duration: 15.028969
1, 18:10:39, 1615169439.407785, 1.350557, Cumulative duration: 69.397206
2, 18:10:40, 1615169440.758342, 0.165095, Cumulative duration: 12.879623
3, 18:10:40, 1615169440.923437, 1.169153, Cumulative duration: 113.353597
4, 18:10:42, 1615169442.92590, 87.076588, Cumulative duration: 265.690843
3, 18:12:9, 1615169529.169178, 0.135141, Cumulative duration: 113.488738
2, 18:12:9, 1615169529.304319, 0.435263, Cumulative duration: 13.314886
1, 18:12:9, 1615169529.739582, 7.005905, Cumulative duration: 76.403111
2, 18:12:16, 1615169536.745487, 0.137839, Cumulative duration: 13.452725
3, 18:12:16, 1615169536.883326, 3.492057, Cumulative duration: 116.980795
